Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-3.6816383275351E-11,-3.09012454513535E-09,-0.0393086110041618,0,0,0,2.99679711850122,0.0130487891566589,6.8253065333221E-07,2.44351489305144E-13,0.00258501168621341,2.0012296507436E-11,0.0139348537052281,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/base_link.STL,,SimBody_Base-1,Base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LF_Thigh,0.00950377899812693,-0.000676711843745792,-0.131806390660472,0,0,0,0.0882422081121368,0.000491671507597408,-2.19555200586714E-07,-8.65148295791536E-07,0.000488344429351517,-2.45099889485596E-05,8.97951850552544E-06,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/LF_Thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/LF_Thigh.STL,,SimBody_LF_ThighLeg-1,LF_Thigh,LF_Shoulder,LF_Shoulder,revolute,-0.1245,0.235,-0.105,0,0,0,base_link,1,0,0,1,1,0,3.14,,,,,,,,
LF_Calf,0.00949966815614647,0.145160578580775,0.00181581504769485,0,0,0,0.104633221276047,0.00040922810468361,-1.6059018426748E-07,5.04772060116895E-07,1.76618968505897E-05,-4.68887811427655E-06,0.000402772935512955,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/LF_Calf.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/LF_Calf.STL,,SimBody_LF_CalfLeg-1,LF_Calf,LF_Elbow,LF_Elbow,revolute,0,0,-0.25,0,0,0,LF_Thigh,1,0,0,1,1,0,3.14,,,,,,,,
RF_Thigh,-0.0096380989183964,-0.000303174649525201,-0.129351054291687,0,0,0,0.0865895797539516,0.000491530599442627,-2.22915472924509E-07,-8.65148296872941E-07,0.000488306844923432,-2.45099889315176E-05,8.86845946110288E-06,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/RF_Thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/RF_Thigh.STL,,SimBody_RF_ThighLeg-1,RF_Thigh,RF_Shoulder,RF_Shoulder,revolute,0.1245,0.235,-0.105,0,0,0,base_link,-1,0,0,1,1,0,3.14,,,,,,,,
RF_Calf,-0.00950033184191773,0.145160578544039,0.00181581504884543,0,0,0,0.104633221311325,0.000409228104837059,-1.60590170198536E-07,5.04772059286103E-07,1.76618968521735E-05,-4.68887810519855E-06,0.00040277293566689,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/RF_Calf.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/RF_Calf.STL,,SimBody_RF_CalfLeg-1,RF_Calf,RF_Elbow,RF_Elbow,revolute,0,0,-0.25,0,0,0,RF_Thigh,-1,0,0,1,1,0,3.14,,,,,,,,
LB_Thigh,0.00999622099786621,0.000676711846198996,-0.131806390667319,0,0,0,0.0882422081331743,0.000491671507336526,-2.19555200658138E-07,8.65148296766519E-07,0.000488344429091295,2.45099889323393E-05,8.9795185058495E-06,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/LB_Thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/LB_Thigh.STL,,SimBody_LB_ThighLeg-1,LB_Thigh,LB_Shoulder,LB_Shoulder,revolute,-0.125,-0.235,-0.105,0,0,0,base_link,1,0,0,1,1,0,3.14,,,,,,,,
LB_Calf,0.0095003322135308,-0.145160592045571,0.00181581604915748,0,0,0,0.104633195457149,0.000409228108021283,-1.60588705119663E-07,-5.04772483817865E-07,1.76618959408093E-05,4.68887711350297E-06,0.000402772937359549,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/LB_Calf.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/LB_Calf.STL,,SimBody_LB_CalfLeg-1,LB_Calf,LB_Elbow,LB_Elbow,revolute,0.0005,0,-0.25,0,0,0,LB_Thigh,1,0,0,1,1,0,3.14,,,,,,,,
RB_Thigh,-0.00909006577664029,0.00031422808315551,-0.126305541097904,0,0,0,0.0835436064116751,0.000490965397560562,-2.2291546550714E-07,8.75425762967123E-07,0.000487844071655091,2.45099890756793E-05,8.74900059524608E-06,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/RB_Thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/RB_Thigh.STL,,SimBody_RB_ThighLeg-1,RB_Thigh,RB_Shoulder,RB_Shoulder,revolute,0.124499999999999,-0.235,-0.105,0,0,0,base_link,-1,0,0,1,1,0,3.14,,,,,,,,
RB_Calf,-0.00949966777869005,-0.145160592135779,0.00181581604604594,0,0,0,0.104633195351664,0.000409228107798755,-1.60588744254339E-07,-5.04772486861016E-07,1.76618959323995E-05,4.68887713099524E-06,0.000402772937131416,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/RB_Calf.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/RB_Calf.STL,,SimBody_RB_CalfLeg-1,RB_Calf,RB_Elbow,RB_Elbow,revolute,0,0,-0.25,0,0,0,RB_Thigh,-1,0,0,1,1,0,3.14,,,,,,,,
LF_MAA_UpLink,0.0104053557996403,0.00431024875092365,-0.0344326418966221,0,0,0,0.0171264368561049,9.58755281580601E-06,9.89111136247813E-08,-4.14855606095137E-09,9.4432294236359E-06,1.13446418378997E-06,1.94587625664638E-06,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/LF_MAA_UpLink.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://SimBodyAll.SLDASM/meshes/LF_MAA_UpLink.STL,,SimBody_MAA_upper-1,LF_MAA_UpPart,LF_MAA_UpJoint,LF_MAA_Upjoint,revolute,-0.126,0.175,-0.105,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
