Pressure1/kPa,Pressure2/kPa,Theta1_real/deg,Theta1_sim/deg,Theta1_error/deg,Theta1_errorRelative,Theta2_real/deg,Theta2_sim/deg,Theta2_error/deg,Theta2_errorRelative,
0,0,72.487 ,73.893 ,-1.406 ,-1.940%,64.749 ,62.260 ,2.490 ,3.845%,
0,10,72.657 ,74.029 ,-1.372 ,-1.889%,49.060 ,46.373 ,2.687 ,5.477%,
0,20,73.071 ,74.100 ,-1.029 ,-1.408%,32.581 ,28.348 ,4.233 ,12.992%,
0,30,73.219 ,74.416 ,-1.197 ,-1.634%,15.198 ,15.722 ,-0.524 ,-3.449%,
10,0,82.165 ,83.982 ,-1.817 ,-2.212%,55.263 ,51.383 ,3.880 ,7.021%,
10,10,82.554 ,83.775 ,-1.221 ,-1.479%,38.779 ,36.056 ,2.723 ,7.022%,
10,20,83.056 ,84.417 ,-1.361 ,-1.638%,21.097 ,12.799 ,8.298 ,39.333%,
20,0,91.853 ,92.744 ,-0.891 ,-0.970%,45.262 ,41.746 ,3.516 ,7.769%,
20,10,92.561 ,92.879 ,-0.319 ,-0.344%,27.386 ,26.484 ,0.903 ,3.296%,
30,0,101.410 ,99.265 ,2.144 ,2.115%,34.784 ,34.066 ,0.718 ,2.063%,
30,10,102.619 ,101.893 ,0.726 ,0.707%,14.466 ,16.289 ,-1.823 ,-12.600%,
40,0,110.777 ,110.090 ,0.687 ,0.620%,23.641 ,20.817 ,2.824 ,11.946%,
50,0,120.051 ,118.192 ,1.859 ,1.549%,11.056 ,9.779 ,1.277 ,11.550%,
