P1,P2,theta1,theta2
0.0,0.0,74.12572980809307,60.829106796344746
0.0,5.0,74.07062644145324,60.93073302235784
0.0,10.0,74.20397525720772,44.451302045793305
0.0,15.0,74.09793032370014,33.96559983277814
0.0,20.0,74.22823914691814,33.74287569056971
0.0,25.0,74.37917285827213,17.58205434775716
0.0,30.0,74.32136360067832,17.6377791087971
5.0,0.0,80.29891963754677,54.03479810516005
5.0,5.0,80.30294265783022,54.52605945954591
5.0,10.0,81.51033572090634,33.69553633730247
5.0,15.0,81.44656661022667,24.472708418032354
5.0,20.0,80.5507733944285,25.50349319640387
5.0,25.0,80.49432807427263,9.421067215869988
5.0,30.0,79.88355871610422,7.701001449059377
10.0,0.0,84.6499648471407,49.94661320441436
10.0,5.0,83.62410022667913,51.24309089280855
10.0,10.0,83.64698798898787,29.85515667785457
10.0,15.0,82.98176288266941,28.5369767871756
10.0,20.0,83.67722660245408,14.726553208541343
10.0,25.0,83.8060222327507,5.942987616198266
15.0,0.0,87.78569084814549,46.34212335291154
15.0,5.0,87.12162307104205,47.73974068706159
15.0,10.0,88.14961999737395,25.679064344489205
15.0,15.0,88.11658323537709,15.346010943116998
15.0,20.0,88.02077959070694,15.39846125843285
20.0,0.0,92.3569678771422,41.333737971514246
20.0,5.0,91.77817846697654,42.61132249276212
20.0,10.0,94.01324222733508,18.75529380170421
20.0,15.0,93.57151007362882,10.951680542508411
25.0,0.0,96.14597785503632,37.232330847658304
25.0,5.0,96.8546142569945,36.66225868525939
25.0,10.0,97.77522058322756,16.977172856456438
30.0,0.0,101.38164398966872,31.08981450060363
30.0,5.0,101.28397737232036,31.6605516401482
30.0,10.0,101.7319017443674,9.818801308399188
35.0,0.0,105.40462514621504,26.329689423015672
35.0,5.0,106.49690460908629,11.04351767877533
40.0,0.0,109.58794381162356,20.99683722134297
40.0,5.0,109.27505737058335,21.55813647566073
45.0,0.0,114.04144887792728,14.761340308046789
45.0,5.0,113.92069102499411,15.633259063397617
50.0,0.0,118.88625145848266,7.850780109092582
50.0,5.0,118.3513598326193,9.236987980547562
