P1,P2,theta1,theta2
0.0,0.0,73.46641944169244,59.865620806376434
0.0,10.0,74.27826416718264,39.87305530070577
0.0,20.0,73.35986252411345,27.08824699623425
0.0,30.0,73.37833169412579,10.696891578388314
10.0,0.0,84.18471696925403,48.56444402362536
10.0,10.0,85.20309181768643,34.02506085206135
10.0,20.0,84.6242975473543,13.391995861099508
20.0,0.0,94.3123823089756,37.169332447357455
20.0,10.0,93.48073513801478,22.00434346830154
30.0,0.0,101.90597501149558,28.408283118515364
30.0,10.0,101.87440167220495,14.212580833988133
40.0,0.0,110.02160447292744,18.045011640109585
