P1,P2,theta1,theta2
0.0,0.0,73.08519014049246,61.38804328888793
0.0,10.0,74.57150071553967,45.42255885716378
0.0,20.0,73.50570304037291,29.56586136034825
0.0,30.0,74.08222299176497,12.355126861797546
10.0,0.0,84.22796782009144,49.436004499404575
10.0,10.0,84.31970234489324,31.192764872650603
10.0,20.0,85.81575224815477,11.41371933426168
20.0,0.0,92.71027381290703,39.854275731041554
20.0,10.0,93.59882155909244,19.699097737195448
30.0,0.0,101.67965197025882,29.74964754634913
30.0,10.0,102.66138467242112,10.554795781505767
40.0,0.0,109.70963858873198,21.44194295425253
50.0,0.0,118.48496419799557,10.312879332938284
