parameter,base_value,delta_ratio,error_base,error_plus,sensitivity_plus,relative_sensitivity_plus
RB_MAA_uGeom,0.03108,-0.1,1.8633574817808098,1.8633574853231512,-1.1397494559751088e-06,-1.901052988385902e-08
RB_MAA_mGeom,0.12432,-0.1,1.8633574817808098,1.846278796704732,1.373768104575112,0.0916554404780971
RB_MAA_lGeom,0.03108,-0.1,1.8633574817808098,1.8538393097705652,3.0624749067711163,0.05108076202934563
RB_BAA_uGeom,0.04544333333,-0.1,1.8633574817808098,1.8633574845031342,-5.990591284676694e-07,-1.4609780423517206e-08
RB_BAA_mGeom,0.1817733333,-0.1,1.8633574817808098,1.876745551864763,-0.7365255310501182,-0.07184917663334407
RB_BAA_lGeom,0.04544333333,-0.1,1.8633574817808098,1.8588056625404976,1.001647305944277,0.024428051433061867
stiffness_MAA,265.8241475038647,-0.1,1.8633574817808098,2.1602750802411204,-0.01116970001590972,-1.5934548328136504
stiffness_BAA,110.35587085946752,-0.1,1.8633574817808098,2.1375601322632765,-0.024847128507703,-1.4715515040109817
l10,0.18030933265375373,-0.1,1.8633574817808098,9.189657460100848,-406.3184012992085,-39.317737202623604
l20,0.2565263437073504,-0.1,1.8633574817808098,9.619956172575934,-302.37045360315835,-41.62700269076735
damping_MAA,12.481528852527212,-0.1,1.8633574817808098,1.8651619318611155,-0.0014456963578946902,-0.009683864196477727
damping_BAA,24.786338846294175,-0.1,1.8633574817808098,1.8923079156958271,-0.011679996023029307,-0.15536704147262909
s1,0.000402878523871013,-0.1,1.8633574817808098,2.0799759174299113,-5376.768003609315,-1.162516789006473
s2,0.0004359278762327848,-0.1,1.8633574817808098,1.9240839534275747,-1393.0394213729282,-0.32589812873012725
RB_MAA_uGeom,0.03108,-0.05,1.8633574817808098,1.8633574835519815,-1.1397500989614164e-06,-1.9010540608593612e-08
RB_MAA_mGeom,0.12432,-0.05,1.8633574817808098,1.8533148651263887,1.6156075698875785,0.10779055283394644
RB_MAA_lGeom,0.03108,-0.05,1.8633574817808098,1.8582428313206947,3.291280862364972,0.0548971467914691
RB_BAA_uGeom,0.04544333333,-0.05,1.8633574817808098,1.8633574831419744,-5.990601545668487e-07,-1.4609805447897922e-08
RB_BAA_mGeom,0.1817733333,-0.05,1.8633574817808098,1.858679305612214,0.5147263444715511,0.050212331389304456
RB_BAA_lGeom,0.04544333333,-0.05,1.8633574817808098,1.8582588544585958,2.2439495294893237,0.05472516542924704
stiffness_MAA,265.8241475038647,-0.05,1.8633574817808098,1.9247607303928231,-0.004619839784203245,-0.6590603167925698
stiffness_BAA,110.35587085946752,-0.05,1.8633574817808098,1.916057168487637,-0.009550862368516407,-0.5656422583653906
l10,0.18030933265375373,-0.05,1.8633574817808098,4.864987008448848,-332.9422257284972,-32.21743069718842
l20,0.2565263437073504,-0.05,1.8633574817808098,5.0933561707903845,-251.8258859756261,-34.668588508552496
damping_MAA,12.481528852527212,-0.05,1.8633574817808098,1.86423211195907,-0.0014014792395932634,-0.009387679893008797
damping_BAA,24.786338846294175,-0.05,1.8633574817808098,1.8754092839312582,-0.009724552081034909,-0.129355770626798
s1,0.000402878523871013,-0.05,1.8633574817808098,1.9569870646504703,-4648.030476781496,-1.0049556650844984
s2,0.0004359278762327848,-0.05,1.8633574817808098,1.886816061892766,-1076.2596929878089,-0.251788294423643
RB_MAA_uGeom,0.03108,-0.01,1.8633574817808098,1.8633574821350496,-1.1397675310346472e-06,-1.9010831368064793e-08
RB_MAA_mGeom,0.12432,-0.01,1.8633574817808098,1.8611134113456906,1.805075961324972,0.12043155739362198
RB_MAA_lGeom,0.03108,-0.01,1.8633574817808098,1.8622781734029816,3.4726781783404572,0.057922775869969925
RB_BAA_uGeom,0.04544333333,-0.01,1.8633574817808098,1.8633574820530472,-5.990699269399848e-07,-1.4610043775333314e-08
RB_BAA_mGeom,0.1817733333,-0.01,1.8633574817808098,1.8606106950459638,1.511105443785177,0.14741061560667204
RB_BAA_lGeom,0.04544333333,-0.01,1.8633574817808098,1.861888560058104,3.2324251217196975,0.07883198672655622
stiffness_MAA,265.8241475038647,-0.01,1.8633574817808098,1.8621177923620962,0.00046635696205727127,0.06652987582011867
stiffness_BAA,110.35587085946752,-0.01,1.8633574817808098,1.8614721702932866,0.0017083925602146633,0.10117819613021616
l10,0.18030933265375373,-0.01,1.8633574817808098,2.0300350776602376,-92.43980520936047,-8.945014443505174
l20,0.2565263437073504,-0.01,1.8633574817808098,2.0897358064367464,-88.24759335992127,-12.148947631862185
