P1_actual/kPa,P2_actual/kPa,theta1_real/rad,theta2_real/rad,theta1_sim/rad,theta2_sim/rad,theta1_error/rad,theta2_error/rad
0.0,0.0,1.2756,1.0714,1.2939,1.0412,0.0184,-0.0303
0.0,10.0,1.3015,0.7928,1.2997,0.7595,-0.0019,-0.0333
0.0,20.0,1.2829,0.516,1.3079,0.4646,0.025,-0.0515
0.0,30.0,1.293,0.2156,1.3086,0.1636,0.0156,-0.0521
0.0,40.0,1.295,-0.0308,1.2538,0.0002,-0.0412,0.031
0.0,50.0,1.1797,-0.0217,1.1491,-0.0007,-0.0306,0.0211
10.0,0.0,1.4701,0.8628,1.453,0.8816,-0.0171,0.0188
10.0,10.0,1.4717,0.5444,1.4623,0.5816,-0.0093,0.0372
10.0,20.0,1.4978,0.1992,1.4718,0.2633,-0.0259,0.0641
10.0,30.0,1.487,-0.0322,1.4496,0.0005,-0.0374,0.0327
10.0,40.0,1.3815,-0.0306,1.3413,-0.0004,-0.0402,0.0303
10.0,50.0,1.2769,-0.0355,1.2361,-0.0014,-0.0408,0.0341
20.0,0.0,1.6181,0.6956,1.6123,0.7107,-0.0058,0.0151
20.0,10.0,1.6336,0.3438,1.6276,0.3805,-0.0061,0.0367
20.0,20.0,1.6278,0.0454,1.638,0.027,0.0102,-0.0184
20.0,30.0,1.5439,-0.0266,1.5353,-0.0001,-0.0086,0.0265
20.0,40.0,1.4502,-0.0238,1.4272,-0.0011,-0.023,0.0227
20.0,50.0,1.3084,-0.007,1.3219,-0.0021,0.0135,0.0049
30.0,0.0,1.7746,0.5192,1.7713,0.5254,-0.0033,0.0061
30.0,10.0,1.7918,0.1842,1.7965,0.1415,0.0047,-0.0427
30.0,20.0,1.7336,-0.0018,1.7293,0.0001,-0.0042,0.0018
30.0,30.0,1.6274,-0.0356,1.6188,-0.0008,-0.0086,0.0347
30.0,40.0,1.5383,-0.0406,1.511,-0.0018,-0.0273,0.0388
30.0,50.0,1.4083,-0.0348,1.4059,-0.0028,-0.0023,0.032
40.0,0.0,1.9148,0.3742,1.9313,0.3149,0.0165,-0.0594
40.0,10.0,1.8927,-0.0284,1.9222,0.0003,0.0295,0.0286
40.0,20.0,1.8105,-0.0369,1.81,-0.0006,-0.0005,0.0364
40.0,30.0,1.7049,-0.0399,1.7001,-0.0016,-0.0048,0.0384
40.0,40.0,1.5762,-0.0211,1.5927,-0.0026,0.0165,0.0186
40.0,50.0,1.4823,-0.0205,1.4879,-0.0036,0.0057,0.0169
50.0,0.0,2.068,0.18,2.1017,0.0332,0.0338,-0.1468
50.0,10.0,1.98,-0.0271,1.9997,-0.0002,0.0198,0.0269
50.0,20.0,1.8745,-0.0365,1.8886,-0.0012,0.0141,0.0353
50.0,30.0,1.7797,-0.0397,1.7792,-0.0022,-0.0004,0.0375
50.0,40.0,1.6768,-0.0508,1.6722,-0.0033,-0.0045,0.0476
50.0,50.0,1.562,-0.0329,1.5678,-0.0043,0.0058,0.0286
