P1,P2,theta1,theta2
0.0,0.0,73.89266921178866,62.25957185233734
0.0,10.0,74.02865965110674,46.37301069400972
0.0,20.0,74.09988623784302,28.347962611815177
0.0,30.0,74.41576273100394,15.721740341816783
10.0,0.0,83.98188234542413,51.382920738087606
10.0,10.0,83.77451736048711,36.05601595856918
10.0,20.0,84.41700923034581,12.79867537675587
20.0,0.0,92.74444734757957,41.745600135503445
20.0,10.0,92.87948991857289,26.48362177846401
30.0,0.0,99.26528455332016,34.06637576600336
30.0,10.0,101.8928629709214,16.289083920034766
40.0,0.0,110.0897124629567,20.816637813755904
50.0,0.0,118.19206427136211,9.778826851093196
